GROUP 0,Haptypes,PrivHaps,SegSites,PairDiffs,HapDiver,NucltdDiv,TajimasD,F*,MismatDist,0 VS 1,PrivTo0,PrivTo1,PairDiffs,MeanDiv(Hs-bar),PoolDiv(Ht),Fst,0 VS 2,PrivTo0,PrivTo2,PairDiffs,MeanDiv(Hs-bar),PoolDiv(Ht),Fst,GROUP 1,Haptypes,PrivHaps,SegSites,PairDiffs,HapDiver,NucltdDiv,TajimasD,F*,MismatDist,1 VS 2,PrivTo1,PrivTo2,PairDiffs,MeanDiv(Hs-bar),PoolDiv(Ht),Fst,GROUP 2,Haptypes,PrivHaps,SegSites,PairDiffs,HapDiver,NucltdDiv,TajimasD,F*,MismatDist,COMBINED,Haptypes,PrivHaps,SegSites,PairDiffs,HapDiver,NucltdDiv,TajimasD,F*,MismatDist,MRCA,PRIORS,Growth Rate 0,Event Growth 0,Event Size 1,Abstract 0,Abstract 1
,499,499,219,62.19,0.997992,0.177686,2.76917,-1.#IND,{1 0 0 2 7 5 13 27 36 63 82 108 116 122 148 167 159 194 174 201 194 231 214 216 274 264 295 361 401 480 607 731 869 998 1215 1303 1473 1581 1586 1571 1683 1633 1560 1551 1369 1165 1082 884 765 633 521 505 507 563 719 886 1129 1485 1713 2158 2595 2979 3316 3534 3762 4016 4082 4065 4082 4101 4015 4023 3990 3953 3888 3827 3646 3346 3272 2933 2590 2199 1847 1534 1168 917 640 494 351 227 155 85 57 32 15 11 2 1 },,499,32,61.2218,0.983373,0.991685,0.00676316,,499,25,61.8523,0.978997,0.989498,-0.00890844,,32,32,177,59.4254,0.96875,0.169787,1.347,1.02101,{0 1 1 1 0 0 0 0 0 0 1 1 0 0 0 1 1 1 0 1 2 0 3 1 1 1 1 1 2 1 0 0 3 2 2 4 3 4 16 7 8 5 10 8 11 7 9 2 2 2 4 3 0 1 2 4 7 5 13 16 9 16 20 16 14 23 20 25 25 28 9 13 21 12 8 11 6 7 5 2 7 5 2 4 1 1 2 2 },,32,25,60.79,0.964375,0.982188,-0.00380053,,25,25,171,62.6167,0.96,0.178905,1.52227,1.0241,{0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 1 1 0 1 1 3 0 1 3 3 3 4 2 4 3 4 4 3 1 1 2 5 3 0 2 1 3 5 1 2 4 2 6 5 8 6 2 5 8 10 8 8 10 9 10 9 11 7 9 10 14 12 9 10 5 5 7 4 4 2 5 1 2 2 0 1 },,556,556,219,62.0474,0.998198,0.177278,2.82961,-1.#IND,{1 1 4 6 13 11 20 45 48 89 105 127 134 148 167 185 181 230 203 233 236 287 269 283 349 345 364 430 477 594 740 883 1046 1235 1491 1612 1854 1977 2011 2012 2140 2055 1967 1943 1724 1435 1330 1080 934 780 687 662 655 723 938 1127 1458 1867 2186 2735 3236 3720 4105 4449 4741 5063 5168 5193 5155 5154 5063 5078 4938 4884 4802 4666 4449 4034 3949 3511 3093 2615 2205 1782 1401 1054 776 585 408 278 182 102 66 39 16 11 2 1 },10463,,-0.0169856,-0.00170755,1.0577,61231.6,4727.22
,500,500,220,45.974,0.998,0.131354,1.25018,-0.9605,{0 1 0 0 1 12 6 15 28 39 71 75 102 127 159 200 213 227 286 323 385 456 526 645 795 977 1149 1405 1777 2124 2390 2876 3196 3601 3932 4163 4312 4227 4073 3808 3534 3108 2575 2127 1687 1312 1122 969 979 1160 1413 1862 2309 2902 3410 4021 4356 4744 4879 4633 4455 3934 3497 2935 2292 1796 1369 948 710 423 239 175 77 49 21 16 5 3 2 },,500,32,43.8997,0.983377,0.991687,0.00304037,,500,25,44.9761,0.979001,0.9895,-0.00394806,,32,32,145,41.5585,0.96875,0.118738,0.588166,0.194395,{0 0 0 0 0 0 1 2 0 1 0 1 0 0 1 0 1 2 2 3 3 4 6 6 3 16 13 13 10 13 27 18 21 15 19 23 13 12 9 12 2 5 5 3 1 2 2 1 5 11 5 8 6 16 15 11 16 25 22 17 12 16 5 7 3 3 1 1 },,31,24,43.08,0.964375,0.981562,0.00311281,,25,25,133,44.3333,0.96,0.126667,1.02482,0.384939,{0 1 0 1 0 0 0 0 0 0 0 1 1 2 0 1 0 1 2 1 5 2 1 2 2 6 2 3 4 9 4 8 8 9 13 12 17 11 4 5 2 3 1 1 1 0 1 1 5 4 5 6 6 8 10 6 6 18 19 14 12 11 11 5 1 1 2 1 1 },,556,556,220,45.6468,0.998198,0.130419,1.27894,-0.814068,{1 3 3 3 7 19 13 32 42 64 108 121 140 181 210 268 281 320 414 440 499 626 738 861 1047 1287 1548 1864 2354 2811 3180 3748 4197 4624 5020 5277 5277 5191 4954 4544 4161 3633 2965 2407 1921 1501 1306 1154 1195 1464 1770 2334 2938 3696 4326 5042 5439 5906 6068 5780 5497 4834 4243 3541 2719 2106 1570 1093 803 478 267 183 87 54 21 16 6 3 2 },4141,,-0.0161129,-0.00467453,69.7388,79557.5,71.6961
,500,500,200,65.1847,0.998,0.186242,3.61077,6.72827,{0 1 4 15 26 40 95 132 191 199 255 254 291 303 295 298 289 300 325 368 426 510 590 676 866 1003 1246 1394 1544 1605 1580 1480 1311 1236 1059 1005 842 775 718 733 806 900 1054 1429 1566 1883 2111 2234 2293 2379 2376 2268 2082 1900 1713 1426 1283 1019 810 705 606 533 594 568 610 522 520 552 490 499 476 491 465 508 558 615 793 893 1045 1134 1352 1519 1792 2042 2335 2853 3344 3652 4086 4325 4364 4367 4029 3598 3101 2591 1947 1486 1031 694 468 298 181 105 77 50 42 16 9 4 2 0 1 },,500,31,65.1195,0.9824,0.991199,0.0023677,,500,25,66.0668,0.979001,0.9895,0.00657619,,31,31,156,64.746,0.966797,0.184988,2.56363,2.04856,{1 3 3 0 2 0 1 5 0 2 3 2 2 1 1 2 0 0 0 2 0 3 3 4 6 11 8 4 4 3 1 2 1 0 3 1 1 1 0 0 0 5 1 7 3 4 6 7 7 8 27 11 10 11 9 5 3 1 0 0 0 0 0 0 5 4 3 1 3 0 0 2 2 3 3 4 6 1 9 4 14 9 14 18 27 12 9 10 19 19 19 16 15 12 7 3 5 3 2 1 0 1 },,29,23,64.5563,0.963398,0.980449,-0.0132712,,25,25,154,66.08,0.96,0.1888,2.46343,1.96087,{0 0 1 1 1 0 0 1 1 0 1 0 0 1 1 2 2 4 2 3 2 1 3 3 0 5 1 2 2 0 1 1 1 1 0 1 0 0 2 1 2 0 0 2 2 5 3 5 8 6 2 3 6 2 3 4 3 3 2 1 3 1 2 4 5 3 2 3 2 4 3 1 3 2 2 3 2 4 7 7 6 8 4 3 1 11 7 2 12 11 13 13 13 10 5 3 1 2 0 1 1 },,554,554,200,65.2462,0.998185,0.186418,3.69864,7.45943,{3 7 13 24 46 71 136 187 254 254 304 310 356 390 378 381 399 414 459 499 564 672 783 907 1167 1305 1589 1768 1905 1957 1865 1710 1516 1423 1225 1149 951 885 825 841 917 1035 1221 1670 1857 2263 2536 2746 2798 2925 3012 2841 2585 2401 2139 1756 1551 1248 985 855 736 656 721 705 793 676 689 738 656 649 620 630 607 659 738 785 1031 1232 1395 1577 1907 2014 2331 2551 3020 3564 4188 4577 5155 5427 5443 5455 4991 4391 3716 3107 2343 1762 1195 786 540 334 196 111 84 56 43 17 9 4 2 0 1 },24418,,-0.0220441,-0.000683884,1.03889,13424.9,4812.83
,500,500,217,63.9019,0.998,0.182577,2.98133,11.1035,{0 0 0 6 10 13 23 35 53 83 98 144 168 190 183 192 187 194 200 211 219 238 287 313 346 360 362 385 442 470 535 629 729 804 958 1056 1134 1230 1319 1429 1534 1574 1669 1729 1877 1893 1889 1926 1828 1895 1849 1868 1931 2101 2163 2433 2625 2854 3165 3118 3282 3208 3111 2960 2773 2472 2180 1900 1595 1391 1120 905 759 559 467 329 254 219 238 274 363 572 725 919 1167 1556 1846 2158 2473 2657 2781 2821 2764 2642 2426 2129 1878 1510 1183 920 697 463 351 230 143 92 52 47 20 10 2 1 },,500,31,66.2548,0.9824,0.991199,0.00391677,,500,25,62.701,0.979001,0.9895,-0.00156689,,31,31,174,68.0887,0.966797,0.194539,2.20272,1.66646,{1 1 1 0 0 0 0 1 0 0 0 3 1 0 0 0 0 1 0 1 1 1 4 5 5 4 2 0 4 1 6 1 1 3 2 4 5 2 4 6 4 8 7 3 5 6 8 6 6 9 7 6 3 2 8 2 9 5 4 7 7 6 3 11 8 11 6 4 9 5 3 2 5 2 3 1 2 0 0 0 1 1 2 3 4 5 8 9 19 16 22 18 22 18 18 16 14 6 8 6 2 2 2 },,31,25,65.4075,0.963398,0.981699,0.00787089,,25,25,163,61.6967,0.96,0.176276,1.70627,1.515,{0 1 0 2 0 0 1 0 0 1 1 0 0 0 0 1 1 2 1 0 2 1 0 1 1 3 3 2 5 3 2 3 3 5 2 3 5 3 2 1 5 3 0 5 7 0 3 2 2 1 1 5 4 2 3 3 4 5 11 3 10 7 12 8 6 6 9 3 7 3 4 3 1 3 2 1 1 0 0 2 0 0 0 0 3 4 3 3 5 3 5 8 5 10 8 4 4 5 1 2 4 1 1 1 1 1 },,556,556,219,64.065,0.998198,0.183043,3.018,14.1426,{1 2 1 13 13 25 33 60 84 122 144 189 213 226 239 229 233 243 255 286 304 324 365 397 459 473 495 518 600 645 733 826 975 1051 1214 1335 1390 1483 1623 1737 1856 1915 2035 2117 2259 2324 2354 2326 2179 2239 2223 2262 2298 2536 2615 2949 3205 3488 3786 3761 3919 3869 3736 3577 3376 3017 2702 2303 2012 1735 1381 1146 956 725 572 430 337 287 300 368 448 690 893 1162 1468 1977 2314 2735 3090 3362 3558 3609 3576 3420 3155 2749 2389 1915 1519 1173 859 583 445 283 179 106 63 54 25 10 2 2 },11070,,-0.0179292,-0.00167159,1.3301,46134.9,3759.11
,500,500,195,54.2965,0.998,0.155133,2.64947,2.29734,{0 0 2 14 24 62 101 189 241 333 450 507 655 787 793 850 811 815 750 784 831 844 1034 1178 1247 1446 1505 1495 1456 1173 965 791 723 717 741 874 955 1199 1354 1615 1895 2111 2368 2547 2571 2522 2427 2353 2260 2151 2016 1776 1589 1403 1216 1012 747 573 411 320 298 311 444 582 911 1276 1683 2425 2873 3565 4177 4580 4879 4960 4791 4610 4171 3639 3009 2344 1718 1158 725 443 236 136 99 40 25 18 22 16 7 },,500,31,53.4878,0.9824,0.991199,0.00847813,,500,25,53.6046,0.979001,0.9895,-0.00961401,,31,31,138,51.7722,0.966797,0.147921,1.94617,1.11398,{1 5 8 3 4 2 0 1 0 1 0 3 3 3 1 3 3 7 5 3 3 1 6 2 1 3 0 2 3 2 3 2 3 5 8 6 4 11 16 6 3 7 7 6 8 9 3 10 6 10 7 9 9 3 2 2 0 3 9 5 6 3 6 2 5 10 15 18 21 25 20 14 14 14 14 11 9 10 9 2 3 1 0 0 0 0 1 2 },,31,25,52.28,0.963398,0.981699,-0.0110511,,25,25,140,53.9433,0.96,0.154124,1.80404,1.1905,{0 0 0 0 2 0 1 0 1 2 1 1 1 5 1 3 2 2 2 4 1 1 3 1 0 1 5 3 3 1 1 1 4 3 1 0 4 1 1 1 6 4 7 4 7 5 9 8 2 7 3 6 3 2 6 1 6 1 1 2 5 3 1 1 7 4 4 5 5 10 10 12 10 13 12 9 8 9 10 4 1 1 2 },,556,556,196,54.1379,0.998198,0.15468,2.67671,1.81752,{1 8 19 31 58 123 205 294 364 483 617 632 800 934 929 1036 1001 1019 968 1072 1140 1167 1360 1488 1547 1705 1719 1681 1616 1292 1087 904 878 901 973 1154 1234 1559 1797 2041 2345 2650 2925 3074 3099 3077 2974 2879 2753 2665 2465 2257 2002 1695 1462 1231 922 678 532 451 446 494 668 875 1260 1737 2251 3119 3739 4524 5250 5748 6100 6142 5934 5593 5062 4337 3583 2754 1963 1309 830 476 256 151 110 53 32 25 27 18 7 },6832,,-0.0236764,-0.00115942,3.45954,8227.1,1445.28
,500,500,200,59.7282,0.998,0.170652,3.0594,4.3969,{0 1 5 11 13 30 80 123 231 302 391 481 536 583 588 547 472 488 505 464 427 387 393 333 320 311 275 331 340 401 423 460 490 445 509 625 673 714 767 730 766 823 856 885 933 998 1052 1214 1325 1498 1633 1951 2151 2394 2566 2783 3019 3140 3127 3102 3203 3058 3164 3090 3152 3194 3319 3488 3801 3772 3997 3940 3856 3655 3331 3156 2769 2487 2269 2037 1747 1575 1314 998 794 627 481 328 242 195 122 67 35 33 15 9 3 4 1 0 1 },,500,30,60.2194,0.981423,0.990711,0.0173511,,500,25,59.1434,0.979001,0.9895,0.00421617,,30,30,157,58.621,0.964844,0.167488,1.92333,1.34768,{2 0 4 0 8 3 3 5 1 6 0 2 0 0 0 2 1 1 1 0 0 0 0 0 0 1 4 1 3 2 0 3 4 5 5 5 1 0 2 3 1 1 1 4 1 4 6 3 2 3 4 3 14 2 5 6 9 12 11 11 17 17 14 17 5 9 21 20 15 15 18 16 14 15 13 17 14 12 11 10 9 7 1 2 3 0 0 1 2 },,30,25,58.915,0.962422,0.981211,0.0097516,,25,25,162,58.06,0.96,0.165886,1.40425,0.883926,{0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 1 1 1 0 0 0 0 1 3 2 0 0 1 2 1 0 2 1 1 2 2 6 2 3 4 7 3 2 3 5 5 4 7 4 6 4 5 8 7 8 9 8 9 10 11 12 8 9 16 4 9 5 9 10 3 5 4 8 6 3 6 3 5 3 3 3 0 1 0 0 1 },,555,555,201,59.7207,0.998192,0.170631,3.10506,4.21,{2 3 14 28 48 77 137 200 334 412 495 568 626 679 677 633 557 575 588 518 496 423 419 359 358 363 341 419 418 487 541 576 609 590 671 800 859 933 952 901 965 1005 1084 1119 1156 1278 1359 1506 1646 1813 1987 2413 2623 2870 3150 3331 3711 3833 3889 3876 4013 3893 4054 3977 4002 4067 4270 4435 4819 4827 5036 5003 4786 4515 4129 3869 3417 3066 2788 2552 2094 1853 1570 1182 923 700 527 378 272 216 133 71 40 35 16 9 3 4 1 0 1 },7539,,-0.0224099,-0.000687457,1.16563,12029.5,4289.51
,499,499,215,68.8444,0.997992,0.196698,3.50155,23.0508,{1 1 2 1 6 7 16 23 37 44 64 55 63 94 97 89 107 135 112 130 183 199 249 317 349 442 486 650 760 844 987 1119 1160 1310 1291 1357 1496 1445 1462 1561 1451 1512 1555 1545 1545 1601 1707 1930 2183 2398 2556 2728 2926 2927 2823 2769 2551 2436 1981 1784 1447 1085 815 546 392 279 178 84 49 43 23 5 0 0 2 5 2 8 10 16 31 58 105 183 347 557 865 1270 1838 2324 2943 3506 3892 4390 4515 4577 4587 4242 3928 3276 2716 2173 1770 1320 962 647 439 296 166 85 43 27 17 6 0 1 },,499,32,69.2742,0.983373,0.991685,-0.000608343,,499,25,67.3841,0.978997,0.989498,-0.00494328,,32,32,166,69.7883,0.96875,0.199395,2.64895,2.08726,{0 0 1 0 0 0 0 0 0 1 1 0 0 2 0 0 2 0 0 5 2 3 4 3 4 4 3 1 3 5 4 4 5 3 6 2 7 5 1 3 5 9 4 5 8 4 8 3 6 8 12 16 12 12 11 10 9 4 0 4 4 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 6 8 11 9 12 17 13 23 22 18 17 18 22 18 12 7 6 7 4 0 1 },,32,25,67.61,0.964375,0.982188,-0.00856612,,25,25,162,66.59,0.96,0.190257,2.19454,1.46698,{0 0 0 0 0 0 0 0 1 0 2 0 1 0 0 0 0 0 1 0 0 1 2 3 3 1 4 4 2 2 1 5 5 4 8 4 3 2 2 4 0 2 2 0 2 2 2 5 10 5 9 4 4 12 9 7 3 4 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 3 7 5 8 18 12 14 8 15 10 13 5 7 4 6 3 2 3 1 3 },,556,556,215,68.7632,0.998198,0.196466,3.57456,28.4583,{1 1 4 4 10 15 23 39 53 65 81 82 86 129 124 125 132 170 157 182 248 284 352 431 497 614 684 831 996 1117 1249 1414 1495 1646 1676 1744 1838 1811 1806 1893 1801 1844 1870 1849 1876 1944 2125 2365 2671 2967 3161 3436 3648 3613 3437 3381 3062 2911 2337 2061 1682 1247 915 627 443 311 199 95 53 44 23 6 0 1 4 5 2 9 14 22 44 73 142 252 452 757 1140 1686 2384 2968 3747 4471 4951 5531 5627 5732 5664 5186 4817 4029 3345 2685 2149 1579 1152 802 561 350 198 99 46 29 20 7 0 1 },17605,,-0.0166098,-0.00238114,2.59542,68538.5,1926.47
,500,500,197,57.8373,0.998,0.165249,2.95617,3.75368,{0 1 3 8 38 58 104 137 205 220 261 333 337 355 345 356 300 264 279 303 295 286 280 354 387 477 577 703 733 843 1001 1116 1204 1338 1490 1696 1970 2208 2328 2453 2439 2361 2219 1997 1606 1293 1011 694 474 265 196 136 113 135 234 402 612 938 1356 1742 2191 2661 3332 3746 4018 4500 4772 4946 4919 4950 4973 4715 4612 4420 3949 3469 3130 2665 2119 1631 1234 756 498 322 181 91 44 24 7 5 0 0 1 },,500,31,57.8991,0.9824,0.991199,0.0121638,,500,25,57.9889,0.979001,0.9895,0.00112502,,31,31,149,56.5524,0.966797,0.161578,2.0163,1.05271,{1 3 3 1 0 1 0 0 1 1 1 1 0 2 2 0 1 2 3 3 1 3 4 4 1 4 1 2 3 7 4 9 8 13 7 10 0 3 1 3 4 2 2 1 0 3 0 0 0 0 0 1 2 0 4 2 3 8 16 14 19 16 12 18 18 18 18 25 27 23 31 23 22 14 12 12 4 3 4 1 },,30,24,57.7687,0.963398,0.981074,0.00843954,,25,25,157,58.01,0.96,0.165743,1.57005,1.1221,{0 0 0 1 0 0 1 0 0 2 0 1 0 0 0 0 1 0 2 2 2 3 1 1 1 2 2 1 3 4 2 3 2 4 5 1 4 4 4 4 1 4 2 1 0 0 0 0 0 0 0 0 0 0 1 5 5 4 8 8 12 6 11 11 11 17 19 13 10 9 12 14 11 5 11 7 5 7 1 0 0 1 3 2 },,555,555,198,57.8518,0.998192,0.165291,3.00312,4.76274,{2 4 11 18 57 98 141 179 262 277 323 389 389 412 416 423 362 335 348 382 374 378 389 488 532 660 745 924 949 1044 1281 1405 1559 1705 1891 2108 2431 2686 2774 2927 2890 2754 2524 2276 1792 1461 1115 763 518 291 225 163 156 180 308 533 823 1237 1767 2233 2869 3397 4223 4766 5169 5753 6157 6374 6313 6290 6312 5984 5828 5473 4870 4230 3751 3120 2432 1871 1394 851 586 356 204 102 44 26 7 6 0 0 1 },6622,,-0.021864,-0.00117071,2.04287,14170.4,2447.54
,500,500,215,56.7166,0.998,0.162047,2.3595,-0.152335,{0 0 1 6 6 6 21 36 54 73 102 104 151 157 163 199 209 217 232 302 298 360 304 374 407 421 458 558 669 754 939 1104 1286 1463 1633 1784 2040 2101 2178 2162 2365 2458 2628 2575 2674 2813 2876 3016 3023 3054 3012 2953 2594 2456 2243 2005 1624 1302 1157 1051 1138 1168 1313 1443 1706 1879 2073 2210 2303 2368 2216 2135 1830 1658 1554 1460 1417 1437 1515 1669 1792 1772 1912 2036 1950 1909 1604 1488 1240 1025 728 590 418 261 129 99 48 24 12 5 2 3 },,500,32,56.0944,0.983377,0.991687,-0.000374106,,500,25,55.119,0.979001,0.9895,-0.0033747,,32,32,156,55.5141,0.96875,0.158612,1.6537,0.993691,{0 1 0 1 0 0 0 0 2 2 1 1 1 1 1 0 0 0 0 0 0 1 0 4 2 9 7 7 7 3 5 7 6 11 10 9 5 5 2 5 6 9 15 15 13 12 4 8 8 5 6 5 4 5 4 7 9 5 5 4 9 8 11 11 13 7 5 5 18 10 8 5 5 4 2 4 4 4 6 12 10 9 9 9 5 11 6 6 8 2 2 2 1 },,32,25,54.1875,0.964375,0.982188,-0.00952662,,25,25,158,53.8933,0.96,0.153981,1.1442,0.597416,{0 0 0 0 0 1 1 1 0 0 0 0 0 2 1 1 0 0 1 0 0 0 0 0 0 1 1 1 3 3 4 4 5 3 4 8 5 11 8 7 1 2 6 5 5 7 5 5 8 9 7 5 6 3 3 5 2 2 1 2 5 6 7 8 9 11 10 9 12 13 8 7 2 0 1 1 0 2 2 1 4 1 2 0 2 1 1 2 0 1 2 2 2 1 },,557,557,215,56.501,0.998205,0.161431,2.40877,0.68598,{0 2 2 13 9 16 29 57 79 118 146 160 196 223 218 250 266 280 298 351 357 437 381 468 490 537 602 725 868 1018 1250 1449 1709 1940 2162 2271 2592 2648 2697 2689 2896 2972 3249 3172 3266 3470 3529 3674 3723 3680 3583 3497 3069 2862 2632 2338 1925 1589 1452 1339 1495 1581 1816 1958 2325 2504 2757 2919 2983 2981 2791 2638 2241 2017 1852 1764 1674 1751 1813 1983 2183 2174 2309 2457 2348 2310 1958 1815 1495 1254 903 693 509 300 161 110 52 26 15 6 2 3 },8923,,-0.017611,-0.0020069,1.99921,50756.6,2500.99
,500,500,212,44.7185,0.998,0.127767,1.28881,-5.56992,{0 2 2 2 7 19 16 36 56 90 122 143 173 207 233 250 340 345 411 430 413 424 499 495 562 721 801 989 1209 1515 1836 2209 2662 3022 3159 3525 3643 3798 3832 3849 3789 3498 3535 3263 3036 2872 2875 3045 3264 3547 3802 4256 4543 4866 4983 4810 4637 4159 3508 2916 2251 1620 1103 831 491 288 208 111 52 25 15 5 8 6 7 17 23 34 41 49 40 59 63 45 40 26 22 10 2 3 4 },,500,32,43.1976,0.983377,0.991687,-0.00441803,,500,25,43.2057,0.979001,0.9895,0.0102558,,32,32,136,42.0585,0.96875,0.120167,0.934757,0.351669,{0 0 0 0 0 2 1 1 0 0 0 1 0 1 1 2 0 2 2 2 1 3 5 6 10 5 12 14 8 10 10 15 15 6 16 18 12 8 11 13 14 6 8 8 2 14 7 11 11 14 19 18 27 24 18 12 22 13 14 9 4 3 0 1 3 1 },,32,25,41.3725,0.964375,0.982188,-0.00145187,,25,25,126,40.8067,0.96,0.11659,0.882253,0.481097,{0 0 0 1 2 1 0 1 0 0 1 1 0 1 0 0 1 0 1 2 1 4 7 6 10 9 8 10 7 3 3 6 9 3 1 1 8 2 0 4 3 7 10 2 9 11 10 9 15 11 13 9 17 15 21 5 7 3 3 4 0 1 0 0 1 },,557,557,213,44.4058,0.998205,0.126874,1.29822,-6.45389,{0 2 3 8 17 33 36 60 84 115 162 183 210 238 281 304 396 421 486 549 519 549 659 712 811 1060 1198 1494 1788 2133 2514 2962 3437 3782 3959 4327 4435 4550 4621 4626 4486 4182 4178 3910 3671 3589 3533 3803 4183 4473 4823 5364 5823 6164 6229 5980 5575 4993 4174 3370 2627 1883 1286 928 558 324 226 125 56 29 16 6 8 7 9 19 26 37 47 56 49 63 68 51 45 27 22 12 2 3 4 },8712,,-0.0178823,-0.00280486,7.17854,46788.6,696.521
