"gen","popA","popB","geo.dist","Sim1"
12500,pop1A,pop1B,3,0.581578947368421
12500,pop1A,pop1C,6,0.689473684210526
12500,pop1B,pop1C,3,0.521052631578947
12500,pop1A,pop1D,3,0.494736842105263
12500,pop1B,pop1D,6,0.76578947368421
12500,pop1C,pop1D,9,0.723684210526316
12500,pop1A,pop1E,6,0.76578947368421
12500,pop1B,pop1E,3,0.460526315789474
12500,pop1C,pop1E,6,0.292105263157895
12500,pop1D,pop1E,3,0.265789473684211
12500,pop1A,pop1G,6,0.536842105263158
12500,pop1B,pop1G,9,0.494736842105263
12500,pop1C,pop1G,12,0.536842105263158
12500,pop1D,pop1G,3,0.4
12500,pop1E,pop1G,6,0.373684210526316
12500,pop1A,pop1H,9,0.644736842105263
12500,pop1B,pop1H,6,0.602631578947369
12500,pop1C,pop1H,9,0.644736842105263
12500,pop1D,pop1H,6,0.205263157894737
12500,pop1E,pop1H,3,0.476315789473684
12500,pop1G,pop1H,3,0.434210526315789
12500,pop1A,pop1I,12,0.476315789473684
12500,pop1B,pop1I,9,0.45
12500,pop1C,pop1I,6,0.407894736842105
12500,pop1D,pop1I,9,0.45
12500,pop1E,pop1I,6,0.678947368421053
12500,pop1G,pop1I,6,0.721052631578947
12500,pop1H,pop1I,3,0.678947368421053
