"gen","popA","popB","geo.dist","Sim1"
12500,pop1A,pop1B,3,0.677777777777778
12500,pop1A,pop1C,6,0.677777777777778
12500,pop1B,pop1C,3,0.422222222222222
12500,pop1A,pop1D,3,0.377777777777778
12500,pop1B,pop1D,6,0.677777777777778
12500,pop1C,pop1D,9,0.277777777777778
12500,pop1A,pop1E,6,0.333333333333333
12500,pop1B,pop1E,3,0
12500,pop1C,pop1E,6,0.744444444444445
12500,pop1D,pop1E,3,0.7
12500,pop1A,pop1G,6,1
12500,pop1B,pop1G,9,0.6
12500,pop1C,pop1G,12,0.655555555555556
12500,pop1D,pop1G,3,0.744444444444445
12500,pop1E,pop1G,6,0.7
12500,pop1A,pop1H,9,1
12500,pop1B,pop1H,6,0.6
12500,pop1C,pop1H,9,0.655555555555556
12500,pop1D,pop1H,6,0.408983451536643
12500,pop1E,pop1H,3,0.744444444444445
12500,pop1G,pop1H,3,0.344444444444444
12500,pop1A,pop1I,12,0.4
12500,pop1B,pop1I,9,0.7
12500,pop1C,pop1I,6,0.25531914893617
12500,pop1D,pop1I,9,0.0793650793650793
12500,pop1E,pop1I,6,0.6
12500,pop1G,pop1I,6,0.655555555555556
12500,pop1H,pop1I,3,0.216374269005848
